Movie_ID,Title,Year,Genre
34759,Aaghaaz ,2000,Thriller
34760,Aaj Ka Ravan,2000,Drama
34761,Anjaane,2000,Romance
34762,Anokha Moti,2000,Family
34763,Apradhi Kaun,2000,Thriller
34764,Astitva,2000,"Drama, Social"
34765,Baaghi,2000,Action
34766,Badal,2000,"Action, Drama"
34767,Bas Yaari Rakho,2000,"Comedy, Drama"
34768,Bawandar,2000,Drama
34769,Beti No.1,2000,Comedy
34770,Bhai Thakur,2000,Action
34771,Bichhoo,2000,Action
34772,Billa No. 786,2000,Action
34773,Bulandi,2000,Drama
34774,Chal Mere Bhai,2000,Comedy
34775,Champion,2000,"Action, Drama"
34776,Dahshat,2000,Horror
34777,Deewane,2000,"Action, Romance"
34778,Dhai Akshar Prem Ke,2000,"Romance, Drama"
34779,Dhadkan,2000,"Romance, Drama"
34780,Dil Ki Dhadkan,2000,"Romance, Drama"
34781,Dil Pe Mat Le Yaar,2000,Drama
34782,Dr. Babasaheb Ambedkar,2000,
34783,Dr Mukta,2000,
34784,Dulhan Hum Le Jayenge,2000,"Comedy, Romance"
34785,Fiza,2000,"Drama, Family, Thriller"
34786,Gaja Gamini,2000,Drama
34787,Gang,2000,Crime
34788,Ghaath,2000,Drama
34789,Hadh Kar Di Aapne,2000,"Comedy, Romance"
34790,Hamara Dil Aapke Paas Hai,2000,Drama
34791,Har Dil Jo Pyar Karega,2000,"Comedy, Drama, Romance"
34792,Hari-Bhari,2000,
34793,Hera Pheri,2000,Comedy
34794,Hey Ram,2000,Drama
34795,Hum To Mohabbat Karega,2000,"Action, Romance"
34796,Jallad No. 1,2000,Drama
34797,Jis Desh Mein Ganga Rehta Hain,2000,Drama
34798,Joru Ka Ghulam,2000,Drama
34799,Josh,2000,"Action, Romance"
34800,Jung,2000,Drama
34801,Jungle,2000,Romance
34802,Kabrastan,2000,Horror
34803,Kahin Pyaar Na Ho Jaaye,2000,"Comedy, romance"
34804,Kaho Naa... Pyaar Hai,2000,"Romance, Drama, Musical"
34805,Kairee,2000,Drama
34806,Karobaar: The Business of Love,2000,Drama
34807,Kharidaar,2000,
34808,Khauff,2000,Drama
34809,Khiladi 420,2000,"Action, romance"
34810,Krodh,2000,Action
34811,Kunwara,2000,Comedy
34812,Kurukshetra,2000,"Action, romance"
34813,Kya Kehna,2000,"Romance, drama"
34814,Le Chal Apne Sang,2000,Romance
34815,Lekroo,2000,
34816,Mela,2000,Drama
34817,Meri Jung Ka Elaan,2000,Drama
34818,Mission Kashmir,2000,"Drama, War, Thriller"
34819,Mohabbatein,2000,"Drama, Romance, Musical, Family"
34820,Nidaan,2000,Drama
34821,Papa the Great,2000,Family
34822,Phir Bhi Dil Hai Hindustani,2000,"Comedy, Drama, Romance, Musical"
34823,The Prince of Light,2000,
34824,Pukar,2000,Drama
34825,Raja Ko Rani Se Pyar Ho Gaya,2000,"Comedy, Musical"
34826,Raju Chacha,2000,Comedy
34827,Refugee,2000,"Drama, Romance"
34828,The Revenge: Geeta Mera Naam,2000,
34829,Saanjh,2000,
34830,Second Generation,2000,
34831,Shikaar,2000,
34832,Shikari,2000,"Thriller, Action, Romance"
34833,Snip!,2000,
34834,Sultaan,2000,
34835,Tapish,2000,
34836,Tarkieb,2000,"Suspense, Thriller"
34837,Tera Jadoo Chal Gayaa,2000,Romance
34838,Tere Liye,2000,
34839,Tune Mera Dil Le Liyaa,2000,
34840,Zindagi Zindabad,2000,
34841,Abhay,2001,"Thriller
"
34842,Aamdani Atthanni Kharcha Rupaiya,2001,"Family Drama
"
34843,Aashiq,2001,"Action Comedy
"
34844,Ajnabee,2001,"Thriller, Suspense, Crime
"
34845,Aks,2001,"Thriller, Horror
"
34846,Albela,2001,"Romance
"
34847,Asoka,2001,"History
"
34848,Bas Itna Sa Khwaab Hai,2001,"Drama, Romance, Social
"
34849,Bengal Tiger,2001,"Action
"
34850,Bhairav,2001,"
"
34851,Censor,2001,"
"
34852,Chandni Bar,2001,"Drama
"
34853,Chhupa Rustam: A Musical Thriller,2001,"Thriller
"
34854,Chori Chori Chupke Chupke,2001,"Drama, Romance, Musical, Social
"
34855,Daman,2001,"Drama
"
34856,Dattak,2001,"
"
34857,Deewaanapan,2001,"Drama, Romance
"
34858,Dil Chahta Hai,2001,"Drama, Comedy, Romance, Musical
"
34859,Dil Ne Phir Yaad Kiya,2001,"Romance
"
34860,Divya Drishti,2001,"
"
34861,Ehsaas: The Feeling,2001,"Drama
"
34862,Ek Rishtaa: The Bond of Love,2001,"Family Drama
"
34863,Farz,2001,"Action, Romance
"
34864,Gadar: Ek Prem Katha,2001,"Drama, War, Romance, Action
"
34865,Grahan,2001,"Romance
"
